id,date,title,version,description,author,contributor,creator,github-link,zenodo-link,doi,doi-related,communities,rights,source,subject,type,file-links,file-types,file-checksums,json-downloaded
oai:zenodo.org:3660891,2020-02-10,dictionaria/tseltal: Tseltal-Spanish multidialectal dictionary,v1.0,"Polian, Gilles. 2020. Tseltal-Spanish multidialectal dictionary. Dictionaria 10. 1-8109 (Available online at https://dictionaria.clld.org/contributions/tseltal)",,,Gilles Polian,url:https://github.com/dictionaria/tseltal/tree/v1.0,https://zenodo.org/record/3660891,10.5281/zenodo.3660891,doi:10.5281/zenodo.3660890,openaire_data\tuser-cldf-datasets\tuser-clld\tuser-dictionaria,info:eu-repo/semantics/openAccess\thttps://creativecommons.org/licenses/by/4.0/legalcode,,cldf:Dictionary,info:eu-repo/semantics/other\tdataset,https://zenodo.org/api/files/505324c9-f347-4f32-a112-fa573d48e75e/dictionaria/tseltal-v1.0.zip,zip,md5:8739f271dd02ed6bba52b770f6eb73dc,y
oai:zenodo.org:3668861,2020-02-16,dictionaria/daakaka: Dakaaka dictionary,v1.1.1,"von Prince, Kilu. 2017. Daakaka dictionary. Dictionaria 1. 1-2167 (Available online at https://dictionaria.clld.org/contributions/daakaka)",,,Kilu von Prince,url:https://github.com/dictionaria/daakaka/tree/v1.1.1,https://zenodo.org/record/3668861,10.5281/zenodo.3668861,doi:10.5281/zenodo.3067380,openaire_data\tuser-cldf-datasets\tuser-clld\tuser-dictionaria,info:eu-repo/semantics/openAccess\thttps://creativecommons.org/licenses/by/4.0/legalcode,,cldf:Dictionary,info:eu-repo/semantics/other\tdataset,https://zenodo.org/api/files/e785883e-5332-4fec-a99d-caf0e70ebc3c/dictionaria/daakaka-v1.1.1.zip,zip,md5:7f658bc5e849a9683802f81b3bfe8011,y
oai:zenodo.org:3668865,2020-02-16,dictionaria/tseltal: Tseltal-Spanish multidialectal dictionary,v1.0.1,"Polian, Gilles. 2020. Tseltal-Spanish multidialectal dictionary. Dictionaria 10. 1-8109 (Available online at https://dictionaria.clld.org/contributions/tseltal)",,,Gilles Polian,url:https://github.com/dictionaria/tseltal/tree/v1.0.1,https://zenodo.org/record/3668865,10.5281/zenodo.3668865,doi:10.5281/zenodo.3660890,openaire_data\tuser-cldf-datasets\tuser-clld\tuser-dictionaria,info:eu-repo/semantics/openAccess\thttps://creativecommons.org/licenses/by/4.0/legalcode,,,info:eu-repo/semantics/other\tdataset,https://zenodo.org/api/files/f0149469-8c4a-4b69-b621-1666751580b4/dictionaria/tseltal-v1.0.1.zip,zip,md5:585ecfdff7ae1fdf1137364c39f23d6c,y
oai:zenodo.org:4139455,2020-10-27,dictionaria/wersing: Wersing dictionary,v1.0,"Schapper, Antoinette. 2020. Wersing dictionary. Dictionaria 11. 1-1430 (Available online at https://dictionaria.clld.org/contributions/wersing)",,,Antoinette Schapper,url:https://github.com/dictionaria/wersing/tree/v1.0,https://zenodo.org/record/4139455,10.5281/zenodo.4139455,doi:10.5281/zenodo.4139454,openaire_data\tuser-cldf-datasets\tuser-clld\tuser-dictionaria,info:eu-repo/semantics/openAccess\thttps://creativecommons.org/licenses/by/4.0/legalcode,,cldf:Dictionary\tlinguistics,info:eu-repo/semantics/other\tdataset,https://zenodo.org/api/files/d50d192c-c57a-4ae9-8dc1-d5b6cceb44d4/dictionaria/wersing-v1.0.zip,zip,md5:cd85797c821225b153b770096b3e8be5,y
oai:zenodo.org:4147099,2020-10-28,dictionaria/medialengua: Media Lengua dictionary,v1.0,"Stewart, Jesse (with Gabriela Prado Ayala, Lucia Gonza Inlago). 2020. Media Lengua dictionary. Dictionaria 12. 1-3216 (Available online at https://dictionaria.clld.org/contributions/medialengua)",,,Jesse Stewart\tGabriela Prado Ayala\tLucia Gonza Inlago,url:https://github.com/dictionaria/medialengua/tree/v1.0,https://zenodo.org/record/4147099,10.5281/zenodo.4147099,doi:10.5281/zenodo.4147098,openaire_data\tuser-cldf-datasets\tuser-clld\tuser-dictionaria,info:eu-repo/semantics/openAccess\thttps://creativecommons.org/licenses/by/4.0/legalcode,,cldf:Dictionary\tlinguistics,info:eu-repo/semantics/other\tdataset,https://zenodo.org/api/files/0e972f23-283e-43b0-ba7f-c25004ac14e4/dictionaria/medialengua-v1.0.zip,zip,md5:21ac88f102fae7b11d4c517bd6714f59,y
oai:zenodo.org:4297474,2020-11-30,dictionaria/kalamang: Kalamang dictionary,v1.0,"Visser, Eline. 2020. Kalamang dictionary. Dictionaria 13. 1-2737 (Available online at http://dictionaria.clld.org/contributions/kalamang)",,,Eline Visser,url:https://github.com/dictionaria/kalamang/tree/v1.0,https://zenodo.org/record/4297474,10.5281/zenodo.4297474,doi:10.5281/zenodo.4297473,openaire_data\tuser-cldf-datasets\tuser-dictionaria\tuser-clld,info:eu-repo/semantics/openAccess\thttps://creativecommons.org/licenses/by/4.0/legalcode,,cldf:Dictionary\tlinguistics,info:eu-repo/semantics/other\tdataset,https://zenodo.org/api/files/cd6841f8-34dd-419f-8dd3-d4c9b79d9603/dictionaria/kalamang-v1.0.zip,zip,md5:1cfe9b03e8701259dd0a7b4444e52887,y
oai:zenodo.org:4675001,2021-04-09,dictionaria/wersing: Wersing dictionary,v1.1,"Schapper, Antoinette. 2020. Wersing dictionary. Dictionaria 11. 1-1430 (Available online at https://dictionaria.clld.org/contributions/wersing)",,,Antoinette Schapper,url:https://github.com/dictionaria/wersing/tree/v1.1,https://zenodo.org/record/4675001,10.5281/zenodo.4675001,doi:10.5281/zenodo.4139454,openaire_data\tuser-cldf-datasets\tuser-clld\tuser-dictionaria,info:eu-repo/semantics/openAccess\thttps://creativecommons.org/licenses/by/4.0/legalcode,,cldf:Dictionary\tlinguistics,info:eu-repo/semantics/other\tdataset,https://zenodo.org/api/files/69064398-cccf-4bda-bff5-d5bd7bdf132b/dictionaria/wersing-v1.1.zip,zip,md5:227aa295345ccbf1029db7964e0298bc,y
oai:zenodo.org:4675071,2021-04-09,dictionaria/tseltal: Tseltal-Spanish multidialectal dictionary,v1.1,"Polian, Gilles. 2020. Tseltal-Spanish multidialectal dictionary. Dictionaria 10. 1-8109 (Available online at https://dictionaria.clld.org/contributions/tseltal)",,,Gilles Polian,url:https://github.com/dictionaria/tseltal/tree/v1.1,https://zenodo.org/record/4675071,10.5281/zenodo.4675071,doi:10.5281/zenodo.3660890,openaire_data\tuser-cldf-datasets\tuser-clld\tuser-dictionaria,info:eu-repo/semantics/openAccess\thttps://creativecommons.org/licenses/by/4.0/legalcode,,cldf:Dictionary\tlinguistics,info:eu-repo/semantics/other\tdataset,https://zenodo.org/api/files/418afaa1-8499-4280-93c1-96e3f4b5b6d3/dictionaria/tseltal-v1.1.zip,zip,md5:f7891deb70ec0539ca45ff23fc19ad03,y
oai:zenodo.org:4675073,2021-04-09,dictionaria/teop: A multifunctional Teop-English dictionary,v1.1,"Mosel, Ulrike. 2019. A multifunctional Teop-English dictionary.  Dictionaria 4. 1-6488. DOI: 10.5281/zenodo.3257580 (Available online at https://dictionaria.clld.org/contributions/teop, Accessed on 2021-02-08.)",,,Ulrike Mosel,url:https://github.com/dictionaria/teop/tree/v1.1,https://zenodo.org/record/4675073,10.5281/zenodo.4675073,doi:10.5281/zenodo.3257579,openaire_data\tuser-cldf-datasets\tuser-clld\tuser-dictionaria,info:eu-repo/semantics/openAccess\thttps://creativecommons.org/licenses/by/4.0/legalcode,,cldf:Dictionary\tlinguistics,info:eu-repo/semantics/other\tdataset,https://zenodo.org/api/files/d2f3e376-0e61-4b74-ac4d-0b563efd4eda/dictionaria/teop-v1.1.zip,zip,md5:29226ee2e6034116f1dec3b44b0ade01,y
oai:zenodo.org:4675076,2021-04-09,dictionaria/sidaama: Sidaama dictionary,v1.1,"Yri, Kjell Magne and Pepper, Steve. 2019. Sidaama dictionary. Dictionaria 6. 1-3578 (Available online at https://dictionaria.clld.org/contributions/sidaama)",,,Kjell Magne Yri\tSteve Pepper,url:https://github.com/dictionaria/sidaama/tree/v1.1,https://zenodo.org/record/4675076,10.5281/zenodo.4675076,doi:10.5281/zenodo.3338362,openaire_data\tuser-cldf-datasets\tuser-clld\tuser-dictionaria,info:eu-repo/semantics/openAccess\thttps://creativecommons.org/licenses/by/4.0/legalcode,,cldf:Dictionary\tlinguistics,info:eu-repo/semantics/other\tdataset,https://zenodo.org/api/files/ddfdfc86-3511-4c19-8ac2-621665a3c01b/dictionaria/sidaama-v1.1.zip,zip,md5:6e6c6156a106b7cb8215ed17b26525a1,y
