ID,Name,Description,Contributor,Citation,Version,Creators,Contributors,DOI,Concept_DOI,Concept_ID,Date_Created,Date_Updated,Communities,License,Zenodo_Link,Zenodo_ID,Zenodo_Keywords,Zenodo_Type,GitHub_Link
21134489,"CLDF dataset derived from Hartmann et al.'s ""Valency Patterns Leipzig"" from 2013","<p>Cite the source of the dataset as:</p>

<blockquote>
<p>Hartmann, Iren &amp; Haspelmath, Martin &amp; Taylor, Bradley (eds.) 2013. Valency Patterns Leipzig. Leipzig: Max Planck Institute for Evolutionary Anthropology. (Available online at http://valpal.info)</p>
</blockquote>",,,v1.1,Robert Forkel,,10.5281/zenodo.21134489,10.5281/zenodo.5667259,5667259,2026-07-02T14:45:15.026482+00:00,2026-07-02T14:45:15.221970+00:00,lexibank,cc-by-3.0,https://zenodo.org/records/21134489,21134489,cldf:Wordlist;linguistics,dataset,https://github.com/lexibank/valpal/tree/v1.1
21107436,ERGON: A Grambank-Inspired Database for the Quantitative Typological Study of Ergativity,"ERGON is a cross-linguistic typological database documenting patterns of ergative alignment of flagging across 177 ergative languages from 40 language families. Inspired by Grambank's feature GB409 (Is there any ergative alignment of flagging?), ERGON expands this single binary variable into 24 sub-features (GB409_1–GB409_24) that capture the full structural complexity of ergative flagging. The database is formatted as a CLDF StructureDataset.",,,v1.0.1,"Zariquiey, Roberto ; Montoya, Jaime ; Gómez, Luisa ; Alvarado, Claudia ; Chu Príncipe, Santiago ; Lanasca, Leslie ; Almendra, Anaís ; Poblete, Mariana ; Greenhill, Simon ; Gray, Russell D.",,10.5281/zenodo.21107436,10.5281/zenodo.21107435,21107435,2026-07-01T15:02:12.801589+00:00,2026-07-01T15:02:13.073635+00:00,,cc-by-4.0,https://zenodo.org/records/21107436,21107436,ergativity;typology;cross-linguistic database;CLDF;Grambank;ergative flagging;split ergativity;Silverstein hierarchy;case marking;linguistic typology,dataset,https://github.com/rzariquiey/ergon-database
20796796,"CLDF dataset derived from Ugarte et al.'s ""NorthPeruLex - A Lexical Dataset of Small Language Families and Isolates from Northern Peru (forthcoming).","<p>Cite the source of the dataset as:</p>

<blockquote>
<p>Ugarte, Carlos and Blum, Frederic and Ingunza, Adriano and Gonzales, Rosa and Peña, Jaime. Forthcoming. NorthPeruLex - A Lexical Dataset of Small Language Families and Isolates from Northern Peru.</p>
</blockquote>",,,v1.1,Carlos Ugarte ; Frederic Blum ; Adriano Ingunza ; Rosa Gonzales ; Jaime Peña,Carlos Ugarte ; Frederic Blum,10.5281/zenodo.20796796,10.5281/zenodo.13269802,13269802,2026-06-22T11:56:34.884287+00:00,2026-06-22T11:56:35.000832+00:00,lexibank,cc-by-4.0,https://zenodo.org/records/20796796,20796796,cldf:Wordlist;linguistics,dataset,https://github.com/lexibank/northperulex/tree/v1.1
20712996,Lexibank 2: pre-computed features for large-scale lexical data,"<p>Cite the source of the dataset as:</p>

<blockquote>
<p>Blum, Frederic; Barrientos, Carlos; Englisch, Johannes; Forkel, Robert; Gray, Russell D.; Greenhill, Simon J.; Rzymski, Christoph and List, Johann-Mattis (2025): Lexibank²: Precomputed Features for Large-Scale Lexical Data [Dataset, Version 2.0]. Leipzig: Max Planck Institute for Evolutionary Anthropology.</p>
</blockquote>",,,v2.2,Frederic Blum ; Carlos Barrientos ; Johannes Englisch ; Robert Forkel ; Simon J. Greenhill ; Christoph Rzymski ; Johann-Mattis List,,10.5281/zenodo.20712996,10.5281/zenodo.5227817,5227817,2026-06-16T07:08:27.011105+00:00,2026-06-16T07:10:57.637329+00:00,produsemy;calc;eu;lexibank,cc-by-4.0,https://zenodo.org/records/20712996,20712996,cldf:Wordlist;linguistics,dataset,https://github.com/lexibank/lexibank-analysed/tree/v2.2
20450412,Hindu Kush Areal Typology,"<p>Cite as</p>
<blockquote>
<p>Henrk Liljegren, Robert Forkel, Nina Knobloch, &amp; Noa Lange. (2021). Hindu Kush Areal Typology (Version v1.0) [Data set]. Zenodo. http://doi.org/10.5281/zenodo.4534220</p>
</blockquote>",,,v1.0.1,Henrik Liljegren ; Robert Forkel ; Nina Knobloch ; Noa Lange,,10.5281/zenodo.20450412,10.5281/zenodo.4534220,4534220,2026-05-29T18:48:04.048694+00:00,2026-05-29T18:48:04.410713+00:00,cldf-datasets;clld;lexibank,cc-by-4.0,https://zenodo.org/records/20450412,20450412,cldf:StructureDataset;cldf:Wordlist;linguistics,dataset,https://github.com/cldf-datasets/liljegrenhindukush/tree/v1.0.1
13831931,CLDF version for Nichols 1992: Linguistic diversity in space and time,,,,v1.0.1,Johanna Nichols,Johannes Englisch ; Martin Haspelmath,10.5281/zenodo.13831931,10.5281/zenodo.13605417,13605417,2024-09-24T07:11:08.018528+00:00,2026-05-26T12:23:33.178285+00:00,crossgram,cc-by-4.0,https://zenodo.org/records/13831931,13831931,cldf:StructureDataset;linguistics,dataset,https://github.com/cldf-datasets/nicholsdiversity/tree/v1.0.1
20392566,Amazonian Voices,"<p>Release accompanying the initial submission of &quot;Amazonian Voices~1.0: A community-friendly CLDF dataset capturing the phonetic diversity of Amazonian languages&quot;.</p>
<p>Please cite the Zenodo release when using the dataset:</p>",,,v0.1,Alonso Vásquez ; Roberto Zariquiey ; Mariana Poblete ; Hans-Jörg Bibiko ; Frederic Blum ; Raquel Cabrera ; Minerva Cerna ; Jorge Pérez Silva ; Robert Forkel ; Russell Gray,Robert Forkel,10.5281/zenodo.20392566,10.5281/zenodo.20392565,20392565,2026-05-26T08:58:44.883447+00:00,2026-05-26T08:58:45.012001+00:00,lexibank,cc-by-nc-4.0,https://zenodo.org/records/20392566,20392566,cldf:Wordlist;linguistics,dataset,https://github.com/lexibank/amazonianvoices/tree/v0.1
20322670,CLDF dataset for Pano languages.,"<p>Cite the source of the dataset as:</p>

<blockquote>
<p>Zariquiey, Roberto and Blum, Frederic and Greenhill, Simon J. and List, Johann-Mattis. Cognate-annotated CLDF dataset for Pano languages (work in progress).</p>
</blockquote>",,,v0.4,Roberto Zariquiey ; Frederic Blum ; Johann-Mattis List ; Simon J. Greenhill,,10.5281/zenodo.20322670,10.5281/zenodo.10988937,10988937,2026-05-21T08:00:14.200229+00:00,2026-05-21T08:00:14.413262+00:00,,cc-by-4.0,https://zenodo.org/records/20322670,20322670,cldf:Wordlist;linguistics,dataset,https://github.com/pano-takanan-history/zariquieypano/tree/v0.4
20021123,MAGRAM grammaticalization database,Dataset of the MAinzer GRAMmatikalisierungsprojekt,,,v1.0,Walter Bisang ; Andrej Malchukov ; Marvin Martiny,Linlin Sun ; Iris Rieder ; Eduard Schroeder ; Robert Forkel ; Johannes Englisch ; Martin Haspelmath,10.5281/zenodo.20021123,10.5281/zenodo.20021122,20021122,2026-05-04T08:43:58.538851+00:00,2026-05-04T08:43:58.701707+00:00,crossgram,cc-by-4.0,https://zenodo.org/records/20021123,20021123,cldf:StructureDataset;cldf:Wordlist;linguistics,dataset,https://github.com/cldf-datasets/magram/tree/v1.0
19947331,IMTVault,"<p>Cite the source of the dataset as:</p>

<blockquote>
<p>Krämer, Thomas, and Sebastian Nordhoff. 2022. &quot;IMTVault: Extracting and Enriching Low-resource Language Interlinear Glossed Text from Grammatical Descriptions and Typological Survey Articles: Proceedings of The 8th Workshop on Linked Data in Linguistics within the 13th Language Resources and Evaluation Conference.&quot; 13th Language Resources and Evaluation Conference lREC 2022, LREC 2022, Marseille, 24.06.2022.</p>
</blockquote>",,,v1.3,Sebastian Nordhoff ; Robert Forkel,,10.5281/zenodo.19947331,10.5281/zenodo.7371911,7371911,2026-05-01T10:55:17.695458+00:00,2026-05-01T10:55:17.934971+00:00,cldf-datasets,cc-by-4.0,https://zenodo.org/records/19947331,19947331,cldf:Generic;linguistics,dataset,https://github.com/cldf-datasets/imtvault/tree/v1.3
19922850,CLDF dataset for Pano languages.,"<p>Cite the source of the dataset as:</p>

<blockquote>
<p>Zariquiey, Roberto and Blum, Frederic and Greenhill, Simon J. and List, Johann-Mattis. Cognate-annotated CLDF dataset for Pano languages (work in progress).</p>
</blockquote>",,,v0.3,Roberto Zariquiey ; Frederic Blum ; Johann-Mattis List ; Simon J. Greenhill,,10.5281/zenodo.19922850,10.5281/zenodo.10988937,10988937,2026-04-30T15:15:05.435139+00:00,2026-04-30T15:15:05.582964+00:00,,cc-by-4.0,https://zenodo.org/records/19922850,19922850,cldf:Wordlist;linguistics,dataset,https://github.com/pano-takanan-history/zariquieypano/tree/v0.3
19884642,Uralic Typological database - UraTyp,"<p>Cite the source of the dataset as:</p>

<blockquote>
<p>Miina Norvik, Robert Forkel, Uldis Balodis, Jeremy Bradley, Michael Dunn, Ilya Egorov, Idaliia Feodotova, Terhi Honkola, Atte Huhtala, Yingqi Jing, Markus Juutinen, Olle Kejonen, Gerson Klumpp, Richard Kowalik, Nikolay Kuznetsov, Miika Lehtinen, Helle Metslang, Merit Niinemägi, Karl Pajusalu, Minerva Piha, Przemysław Podleśny, Mihkel Rünkla, Eva Saar, Sirkka Saarinen, Denys Teptiuk, Pire Teras, Marili Tomingas, Tuuli Tuisk, Janek Vaab, &amp; Outi Vesakoski. (2026). Uralic Typological database - UraTyp (v2.0) [Data set]. Zenodo. https://doi.org/10.5281/zenodo.5236365</p>
</blockquote>",,,v2.0,Miina Norvik ; Robert Forkel ; Uldis Balodis ; Jeremy Bradley ; Michael Dunn ; Ilya Egorov ; Idaliia Feodotova ; Terhi Honkola ; Atte Huhtala ; Yingqi Jing ; Markus Juutinen ; Olle Kejonen ; Gerson Klumpp ; Richard Kowalik ; Nikolay Kuznetsov ; Miika Lehtinen ; Helle Metslang ; Merit Niinemägi ; Karl Pajusalu ; Minerva Piha ; Przemysław Podleśny ; Mihkel Rünkla ; Eva Saar ; Sirkka Saarinen ; Denys Teptiuk ; Pire Teras ; Marili Tomingas ; Tuuli Tuisk ; Janek Vaab ; Outi Vesakoski,,10.5281/zenodo.19884642,10.5281/zenodo.5236365,5236365,2026-04-29T11:19:01.827902+00:00,2026-04-29T11:19:02.034039+00:00,cldf-datasets,cc-by-4.0,https://zenodo.org/records/19884642,19884642,cldf:StructureDataset;linguistics,dataset,https://github.com/cldf-datasets/uratyp/tree/v2.0
