ID,Contribution_ID,Module,CLDF_ID,Language_Count,Glottocode_Count,Parameter_Count,Value_Count,Form_Count,Entry_Count,Example_Count
5121213-1,5121213,Wordlist,castrosui,16,3,592,0,9459,0,0
5121195-1,5121195,Wordlist,carvalhopurus,4,4,205,0,731,0,0
3537673-1,3537673,Wordlist,yanglalo,8,7,1000,0,8505,0,0
3535171-1,3535171,Wordlist,tls,127,107,1581,0,130493,0,0
3537682-1,3537682,Wordlist,sohartmannchin,8,7,280,0,2171,0,0
3534873-1,3534873,Wordlist,diacl,422,351,537,0,60130,0,0
3537629-1,3537629,Wordlist,halenepal,13,13,997,0,11041,0,0
3537580-1,3537580,Wordlist,zgraggenmadang,100,98,333,0,34405,0,0
3535008-1,3535008,Wordlist,suntb,51,49,1004,0,50434,0,0
3534994-1,3534994,Wordlist,robinsonap,13,13,398,0,4850,0,0
3534900-1,3534900,Wordlist,mitterhoferbena,13,13,355,0,2017,0,0
5040169-1,5040169,Wordlist,chingelong,10,1,99,0,998,0,0
3537636-1,3537636,Wordlist,marrisonnaga,40,39,626,0,19200,0,0
3534991-1,3534991,Wordlist,northeuralex,107,107,1016,0,121612,0,0
5119242-1,5119242,Wordlist,kraftchadic,67,60,433,0,29059,0,0
3534953-1,3534953,Wordlist,kraftchadic,67,60,433,0,29059,0,0
5119227-1,5119227,Wordlist,hubercolumbian,69,65,366,0,26723,0,0
3534908-1,3534908,Wordlist,hubercolumbian,69,65,366,0,26726,0,0
5118684-1,5118684,Wordlist,castrozhuang,20,4,510,0,10512,0,0
5118536-1,5118536,Wordlist,castroyi,6,1,540,0,2891,0,0
5118477-1,5118477,Wordlist,castrosui,16,3,592,0,9459,0,0
3537607-1,3537607,Wordlist,castrosui,16,3,592,0,9693,0,0
5118461-1,5118461,Wordlist,carvalhopurus,4,4,205,0,731,0,0
5116001-1,5116001,Wordlist,cals,88,6,184,0,15826,0,0
5118723-1,5118723,Wordlist,chacontukanoan,16,16,142,0,1542,0,0
5119295-1,5119295,StructureDataset,beidasinitic,18,17,204,2146,0,0,0
5119295-2,5119295,Wordlist,beidasinitic,18,18,905,0,18059,0,0
5118556-1,5118556,Wordlist,chaconarawakan,8,8,102,0,711,0,0
5118605-1,5118605,Wordlist,chaconbaniwa,14,1,243,0,2354,0,0
5119341-1,5119341,Wordlist,bowernpny,190,172,344,0,44876,0,0
5118744-1,5118744,Wordlist,chenhmongmien,25,22,883,0,21967,0,0
5118763-1,5118763,Wordlist,chaconcolumbian,69,65,128,0,9030,0,0
5115983-1,5115983,Wordlist,bowernpny,190,172,344,0,44876,0,0
3534952-1,3534952,Wordlist,bowernpny,190,172,344,0,44876,0,0
5115864-1,5115864,StructureDataset,beidasinitic,18,17,204,2146,0,0,0
5115864-2,5115864,Wordlist,beidasinitic,18,18,905,0,18059,0,0
3534942-1,3534942,Wordlist,beidasinitic,18,18,905,0,18059,0,0
3741500-1,3741500,Wordlist,chenhmongmien,25,21,883,0,21967,0,0
3537712-1,3537712,Wordlist,chenhmongmien,25,21,883,0,21967,0,0
1564336-1,1564336,Wordlist,chaconbaniwa,14,1,243,0,2354,0,0
5115982-1,5115982,Wordlist,bantubvd,10,10,430,0,4256,0,0
5116054-1,5116054,Wordlist,backstromnorthernpakistan,51,30,1233,0,11343,0,0
5115947-1,5115947,Wordlist,aaleykusunda,3,1,230,0,662,0,0
5115885-1,5115885,Wordlist,abrahammonpa,30,16,306,0,8213,0,0
5115649-1,5115649,StructureDataset,allenbai,9,9,132,649,0,0,0
5115649-2,5115649,Wordlist,allenbai,9,9,499,0,4546,0,0
3537754-1,3537754,Wordlist,bantubvd,10,10,430,0,4257,0,0
3537601-1,3537601,Wordlist,abrahammonpa,30,16,306,0,8315,0,0
3534931-1,3534931,Wordlist,allenbai,9,9,499,0,4546,0,0
4896007-1,4896007,StructureDataset,levshinadifferentialmarking,27,27,24,683,0,0,96
4777568-1,4777568,Wordlist,uralex,27,26,313,0,10231,0,0
4696262-1,4696262,Wordlist,bendermicropower,38,30,10,0,229,0,0
4486420-1,4486420,Wordlist,chechuroborrowing,91,9,160,0,15227,0,0
4486318-1,4486318,StructureDataset,nts,362,362,290,57617,0,0,0
4455759-1,4455759,Wordlist,daniellinguafrancas,96,25,160,0,16048,0,0
4438189-1,4438189,StructureDataset,mattercariban,0,0,0,0,0,0,0
4438189-2,4438189,Wordlist,mattercariban,24,24,95,0,2249,0,0
4350652-1,4350652,Wordlist,mixezoqueanvoices,21,16,199,0,3616,0,0
4350691-1,4350691,Wordlist,papuanvoices,13,11,215,0,2771,0,0
4327418-1,4327418,Wordlist,mixezoqueanvoices,21,16,199,0,3665,0,0
4309141-1,4309141,Wordlist,vanuatuvoices,173,46,191,0,30188,0,0
4305778-1,4305778,StructureDataset,serzantjanicantipassives,0,0,7,0,0,0,0
4280576-1,4280576,Wordlist,cosgrovevoro,1,1,1310,0,3654,0,0
4280596-1,4280596,Wordlist,spagnolmaltese,1,1,1277,0,1688,0,0
4071139-1,4071139,StructureDataset,audersetinterrog,99,97,7,1050,0,0,150
4047762-1,4047762,Wordlist,tppsr,62,1,480,0,29464,0,10975
3995853-1,3995853,Wordlist,tppsr,62,1,480,0,29464,0,10975
3988472-1,3988472,Wordlist,tppsr,62,1,480,0,29464,0,10975
3889881-1,3889881,StructureDataset,tangclassifiers,400,392,2,800,0,0,0
3823888-1,3823888,StructureDataset,apics,104,62,336,20624,0,0,18526
3535809-1,3535809,Wordlist,tryonsolomon,111,96,323,0,36711,0,0
3475912-1,3475912,Wordlist,channumerals,5284,4139,95,0,185946,0,0
3552559-1,3552559,StructureDataset,normansinitic,11,11,15,165,0,0,0
3552559-2,3552559,Wordlist,normansinitic,11,11,40,0,440,0,0
1405135-1,1405135,StructureDataset,,42,22,21,882,0,0,0
3712132-1,3712132,StructureDataset,ewave,77,65,235,18095,0,0,4189
3603137-1,3603137,StructureDataset,ewave,76,0,235,17860,0,0,4118
3696844-1,3696844,StructureDataset,dryerorder,1077,1071,10,4566,0,0,0
2677911-1,2677911,StructureDataset,,2186,2184,3183,105466,0,0,0
2593234-1,2593234,StructureDataset,,2186,2184,3175,105462,0,0,0
3603755-1,3603755,StructureDataset,petersonsouthasia,29,29,28,812,0,0,0
3610155-1,3610155,StructureDataset,afbo,92,87,43,290,0,0,0
3608862-1,3608862,StructureDataset,sails,167,167,604,31792,0,0,0
