ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
aari1239,Aari,Africa,5.95034,36.5721,aari1239,aiw
aasa1238,Aasax,Africa,-4.00679,36.8648,aasa1238,aas
abab1239,Ababda,Africa,,,abab1239,
abad1241,Abadi,Papunesia,-9.03389,146.992,abad1241,kbt
abag1245,Abaga,Papunesia,-6.12028,145.665,abag1245,abg
abai1240,Abai Sungai,Papunesia,5.55394,118.306,abai1240,abf
abai1241,Abai Tubu-Abai Sembuak,Papunesia,3.524226,116.162455,abai1241,
abam1239,Abam,Papunesia,,,abam1239,
aban1242,Abanyom,Africa,6.30619,8.63055,aban1242,abm
abar1238,Mungbam,Africa,6.5805,10.2267,abar1238,mij
abar1239,Abar,Africa,,,abar1239,
abau1245,Abau,Papunesia,-3.97222,141.324,abau1245,aau
abaz1241,Abaza,Eurasia,44.25,42.0,abaz1241,abq
abee1242,Abé,Africa,5.59682,-4.38497,abee1242,aba
aben1249,Abenlen Ayta,Papunesia,15.4131,120.2,aben1249,abp
abid1235,Abidji,Africa,5.65656,-4.58421,abid1235,abi
abin1243,Abinomn,Papunesia,-2.92281,138.891,abin1243,bsa
abip1241,Abipon,South America,-29.0,-61.0,abip1241,axb
abis1238,Aewa,South America,-1.284096,-75.084405,abis1238,ash
abkh1244,Abkhaz,Eurasia,43.056218,41.159115,abkh1244,abk
abom1238,Abom,Papunesia,-8.42448,142.842,abom1238,aob
abon1238,Abon,Africa,6.90621,10.8769,abon1238,abo
abro1238,Abron,Africa,7.72094,-2.50289,abro1238,abr
abua1244,Abua,Africa,4.83057,6.61492,abua1244,abn
abua1245,Abu' Arapesh,Papunesia,-3.461612,142.917031,abua1245,aah
abui1241,Abui,Papunesia,-8.31058,124.588,abui1241,abz
abuj1237,Abujmaria,Eurasia,,,abuj1237,
abun1252,Abun,Papunesia,-0.57073,132.416,abun1252,kgr
abun1254,Abun Tat,Papunesia,,,abun1254,
abur1243,Abure,Africa,5.21534,-3.64123,abur1243,abu
abuu1241,Abu,Papunesia,-4.24027,144.474,abuu1241,ado
acat1239,Acatepec Me'phaa,North America,17.1034,-99.0602,acat1239,tpx
acha1249,Longchuan Achang,Eurasia,24.3479,97.7438,acha1249,acn
acha1250,Achagua,South America,4.38649,-72.2005,acha1250,aca
ache1245,Acheron,Africa,10.8827,30.3187,ache1245,acz
ache1246,Aché,South America,-25.5865,-56.4697,ache1246,guq
achi1256,Achi,North America,15.073,-90.3513,achi1256,acr
achi1257,Acehnese,Papunesia,3.90757,96.6032,achi1257,ace
achi1258,"Achi', Cubulco",North America,,,achi1258,acc
achu1247,Achumawi,North America,41.0979,-121.191,achu1247,acv
achu1248,Achuar-Shiwiar,South America,-2.82646,-77.2641,achu1248,acu
acol1236,Acoli,Africa,3.57738,32.5147,acol1236,ach
acom1246,Acoma Keres,North America,,,acom1246,
acro1240,Acrolectal Fiji English,Eurasia,,,acro1240,
adam1238,Adamorobe Sign Language,Africa,5.834,-0.151,adam1238,ads
adam1253,Adamawa Fulfulde,Africa,8.140326,13.077338,adam1253,fub
adan1247,Adangme,Africa,5.9437,0.13243,adan1247,ada
adan1248,Adangbe,Africa,6.50546,0.727155,adan1248,adq
adan1251,Adang,Papunesia,-8.18958,124.448,adan1251,adn
adas1235,Adasen,Papunesia,17.8187,120.905,adas1235,tiu
adel1244,Adele,Africa,8.16975,0.619185,adel1244,ade
adho1243,Adhola,Africa,0.73235,34.0341,adho1243,adh
adio1239,Adioukrou,Africa,5.38228,-4.52522,adio1239,adj
adiv1239,Kotia-Adivasi Oriya-Desiya,Eurasia,18.1046,82.8487,adiv1239,ort
adiw1235,Adiwasi Garasia,Eurasia,24.0712,73.1426,adiw1235,gas
adny1235,Adnyamathanha,Australia,-30.1451,138.671,adny1235,adt
adon1237,Adonara,Papunesia,-8.32027,123.159,adon1237,adr
adyg1241,West Circassian,Eurasia,44.0,39.33,adyg1241,ady
adze1240,Adzera,Papunesia,-6.39394,146.294,adze1240,adz
adze1241,Adzera (Retired),,,,adze1241,azr
aeka1244,Aeka,Papunesia,-8.855095,147.99477,aeka1244,aez
aeky1238,Aekyom,Papunesia,-5.88478,141.532,aeky1238,awi
