ID,Dataset_ID,Language_ID,Value_Count,Form_Count,Entry_Count,Example_Count
13606075-1-xooo1239,13606075-1,xooo1239,7,0,0,0
13606075-1-hoaa1235,13606075-1,hoaa1235,6,0,0,0
13606075-1-abau1245,13606075-1,abau1245,7,0,0,0
13606075-1-abip1241,13606075-1,abip1241,7,0,0,0
13606075-1-abkh1244,13606075-1,abkh1244,7,0,0,0
13606075-1-abun1252,13606075-1,abun1252,7,0,0,0
13606075-1-achi1257,13606075-1,achi1257,7,0,0,0
13606075-1-acha1250,13606075-1,acha1250,7,0,0,0
13606075-1-achu1248,13606075-1,achu1248,6,0,0,0
13606075-1-achu1247,13606075-1,achu1247,7,0,0,0
13606075-1-west2632,13606075-1,west2632,7,0,0,0
13606075-1-adan1251,13606075-1,adan1251,7,0,0,0
13606075-1-adyg1241,13606075-1,adyg1241,6,0,0,0
13606075-1-aeky1238,13606075-1,aeky1238,6,0,0,0
13606075-1-afri1274,13606075-1,afri1274,7,0,0,0
13606075-1-agar1252,13606075-1,agar1252,7,0,0,0
13606075-1-ainu1240,13606075-1,ainu1240,7,0,0,0
13606075-1-ajas1235,13606075-1,ajas1235,6,0,0,0
13606075-1-akan1250,13606075-1,akan1250,7,0,0,0
13606075-1-fant1241,13606075-1,fant1241,7,0,0,0
13606075-1-alam1246,13606075-1,alam1246,7,0,0,0
13606075-1-alaw1244,13606075-1,alaw1244,7,0,0,0
13606075-1-gheg1238,13606075-1,gheg1238,6,0,0,0
13606075-1-aleu1260,13606075-1,aleu1260,6,0,0,0
13606075-1-alle1238,13606075-1,alle1238,7,0,0,0
13606075-1-alse1251,13606075-1,alse1251,7,0,0,0
13606075-1-alun1238,13606075-1,alun1238,6,0,0,0
13606075-1-aman1265,13606075-1,aman1265,7,0,0,0
13606075-1-ambu1247,13606075-1,ambu1247,6,0,0,0
13606075-1-amel1241,13606075-1,amel1241,7,0,0,0
13606075-1-amha1245,13606075-1,amha1245,7,0,0,0
